14,0,5,3,1,1,4,2,12,3,3,8,4,2,3,1,1,1,6,3,15,21,7,1,3
13,6,6,31,22,12,28,29,25,15,12,24,11,27,9,9,36,11,8,15,10,24,18,32,8
10,18,2,13,11,10,10,17,4,6,9,11,7,9,21,2,10,9,7,5,7,20,9,5,6
3,4,5,16,7,11,8,6,16,5,10,7,12,8,6,4,6,13,10,13,4,4,8,5,5
33,34,24,24,41,23,35,31,28,37,27,40,25,21,28,31,24,35,37,46,39,34,15,24,36
6,5,6,4,2,4,12,5,6,7,5,5,7,2,10,3,7,8,11,3,10,1,9,7,7
8,11,9,8,16,1,3,6,10,12,12,5,5,16,16,2,6,10,2,21,6,6,4,6,8
15,14,9,18,18,33,11,10,8,20,13,11,15,14,24,26,21,14,26,18,22,9,18,20,24
5,4,8,5,9,10,8,7,17,7,8,9,11,14,12,5,9,4,7,14,10,6,13,5,5
11,20,11,17,15,17,15,12,16,25,20,25,17,38,14,9,12,18,15,18,19,15,24,15,16
