3,5,6.6,9,5.6,8.6,4.9,8.9,0.2,8.1,9.8,3,7.3,9.2,6.1,9.3,7.4,4.8,5.3,3.6,1.2,1.6,6,7.3,6.7
8.6,7.4,9.3,2.3,0.7,6.4,0.8,1.2,2,3.3,7.3,3,5.6,0.5,9,8.1,0.4,6.8,8.1,6.5,9,4.3,6.3,0.3,7.2
4.8,2.8,10,5.8,4.8,7.2,4,1.7,8.8,5.9,7.7,6.5,3.4,4.1,0.6,6.8,4.6,3.5,9.5,6,7.4,0.4,6.3,6.5,6.7
6.6,8.6,8.7,3.1,5.4,5.4,2.6,4.1,0.6,5.2,4.3,3.4,1.8,5.3,9.8,8.3,9.8,5.6,7.1,0.8,5.9,6.7,6.7,9.7,3.4
0.9,1.9,1.4,6.4,3.4,8.8,2.9,1.3,4.5,0.9,4,1.6,9.3,8.8,3.6,1.6,3.9,5.9,1.7,1.2,1.5,0.4,9.8,5.8,2.1
2,1.1,0.2,7.8,5,4.4,0.1,2,3,5.2,5.5,5.3,4.9,9.1,0.8,9.3,2.9,1.2,1.5,4.4,2.1,7.1,4.5,0.4,2.4
4.7,2.9,1.4,4.1,1.2,7.9,8,6.5,5.7,2.4,3,7.5,8.7,0.2,2.6,8.7,2.4,5.2,8,0.5,8.5,7.5,7.4,5.4,4.2
7.3,3.3,4.8,3.1,5.2,0.4,5.7,5.4,7.9,1.9,7.6,9.3,0.5,1.1,0.1,0.5,0.6,1.6,3.5,4,1.8,8.2,3.9,1,0.2
2.8,7.7,1.5,6.7,8.3,4,8.4,9.3,0.6,8.1,6.8,6.2,1,0.4,1.7,8.7,1.5,9.1,7.5,1.1,3.2,8.8,1.1,4.8,5.4
5.3,6.8,8.6,4.1,6.7,7.8,6.3,9.1,4.6,3.3,4.1,1.2,6.2,0.8,9.4,8.6,7.2,7.3,8.3,4.1,4.3,5.7,2,8.9,4.5
