Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jordan McRae,SG,28,DEN,4,32,16.7,.580,.667,.667,3.5,14.0,8.8,15.6,3.1,2.9,0.0,10.5,0.1,0.0,0.1,.201,1.1,1.4,2.5,0.0
Jordan McRae,SG,28,DET,4,98,6.5,.446,.372,.512,0.0,17.6,8.7,10.7,0.0,0.0,8.7,25.7,-0.1,0.0,-0.1,-0.053,-5.6,-4.2,-9.8,-0.2
NicolÃ² Melli,C,29,NOP,60,1042,11.4,.556,.638,.226,3.9,14.5,9.2,10.5,1.5,1.8,11.5,15.7,0.9,0.9,1.8,.082,-1.5,0.2,-1.3,0.2
De'Anthony Melton,PG,21,MEM,60,1167,13.5,.501,.349,.302,4.0,15.7,9.9,20.1,3.1,1.5,15.6,19.2,0.1,1.7,1.7,.072,-2.2,2.0,-0.2,0.5
Chimezie Metu,PF,22,SAS,18,105,22.2,.608,.048,.310,12.3,21.6,16.9,14.9,1.4,5.0,17.3,23.7,0.2,0.1,0.3,.130,1.9,-0.1,1.8,0.1
Khris Middleton,SF,28,MIL,62,1853,21.1,.619,.374,.240,2.5,17.0,10.2,22.2,1.3,0.3,11.6,26.4,4.6,3.3,7.9,.205,3.4,0.7,4.1,2.9
Eric Mika,PF,25,SAC,1,19,13.9,.773,.000,.667,11.6,30.4,20.7,0.0,0.0,0.0,0.0,8.9,0.1,0.0,0.1,.218,-2.2,-1.0,-3.2,0.0
C.J. Miles,SG,32,WAS,10,161,11.1,.472,.593,.339,2.6,5.7,4.1,10.0,2.9,2.2,5.6,18.6,0.0,0.1,0.1,.035,-1.8,0.1,-1.8,0.0
Malcolm Miller,SF,26,TOR,28,162,6.7,.538,.759,.276,1.3,8.9,5.2,8.9,1.5,1.2,11.0,9.6,0.1,0.2,0.3,.082,-3.5,1.2,-2.3,0.0
Patty Mills,PG,31,SAS,66,1485,14.8,.592,.674,.187,1.6,6.2,3.9,11.4,1.7,0.4,7.7,20.4,2.3,0.5,2.8,.091,1.2,-1.2,0.0,0.8
Paul Millsap,PF,34,DEN,51,1240,16.9,.591,.283,.322,8.9,17.6,13.2,9.6,1.8,2.2,12.3,20.0,2.1,1.4,3.5,.136,0.3,-0.2,0.1,0.7
Shake Milton,SG,23,PHI,40,805,14.4,.617,.487,.235,2.1,10.0,6.0,18.8,1.2,0.7,13.3,18.9,1.4,0.7,2.1,.126,0.0,-1.0,-1.0,0.2
Donovan Mitchell,SG,23,UTA,69,2364,18.8,.558,.352,.240,2.6,11.3,7.1,21.6,1.4,0.5,11.0,30.8,3.2,2.2,5.4,.110,2.4,-0.6,1.9,2.3
Naz Mitrou-Long,SG,26,IND,5,47,7.8,.412,.706,.000,0.0,16.2,8.2,22.8,1.0,1.9,15.0,18.7,-0.1,0.1,0.0,-0.022,-3.5,2.1,-1.4,0.0
Adam Mokoka,SG,21,CHI,11,112,8.2,.538,.536,.143,6.6,3.1,4.9,5.0,1.7,0.0,6.3,12.1,0.1,0.1,0.2,.073,-3.1,-1.0,-4.1,-0.1
Malik Monk,SG,21,CHO,55,1169,12.6,.530,.418,.205,2.4,12.6,7.3,16.6,1.1,1.3,12.6,22.9,0.1,0.6,0.7,.028,-1.1,-1.3,-2.3,-0.1
Matt Mooney,SG,22,CLE,4,19,8.1,.250,.500,.000,0.0,17.7,8.8,6.7,5.1,4.5,0.0,9.0,0.0,0.0,0.0,.007,-5.4,5.0,-0.4,0.0
E'Twaun Moore,SG,30,NOP,56,1020,11.3,.510,.382,.103,3.2,10.4,6.8,11.0,1.5,0.9,8.1,19.9,0.3,0.7,0.9,.043,-1.9,-0.8,-2.7,-0.2
Ja Morant,PG,20,MEM,67,2074,17.4,.556,.191,.329,2.6,10.4,6.6,35.2,1.3,0.8,17.0,25.9,2.3,1.5,3.8,.088,1.5,-1.2,0.3,1.2
Juwan Morgan,PF,22,UTA,21,134,10.1,.648,.308,.154,8.5,15.1,11.9,6.2,0.4,1.2,17.8,11.0,0.2,0.1,0.3,.106,-2.9,-0.3,-3.2,0.0
Marcus Morris,SF-PF,30,TOT,62,1936,14.3,.570,.430,.272,3.2,14.0,8.5,6.8,1.2,1.4,9.7,21.9,2.1,1.5,3.6,.088,0.6,-0.7,-0.1,0.9
Marcus Morris,SF,30,NYK,43,1387,16.5,.582,.415,.311,3.6,14.7,9.0,6.8,1.2,1.2,9.2,24.4,2.1,0.8,2.9,.101,1.8,-1.1,0.7,0.9
Marcus Morris,PF,30,LAC,19,549,8.9,.523,.483,.126,2.1,12.3,7.4,6.8,1.1,2.1,11.6,15.8,0.0,0.7,0.6,.055,-2.5,0.3,-2.2,0.0
Markieff Morris,PF,30,TOT,58,1187,12.5,.565,.498,.186,3.8,17.1,10.3,10.1,1.3,1.2,13.3,20.9,0.5,1.0,1.4,.058,-1.1,-0.9,-2.0,0.0
Markieff Morris,PF,30,DET,44,988,12.7,.573,.486,.203,2.7,17.3,9.9,11.0,1.3,0.9,14.2,21.8,0.3,0.7,1.0,.049,-1.1,-1.0,-2.1,0.0
Markieff Morris,PF,30,LAL,14,199,11.5,.516,.565,.087,8.9,15.8,12.4,5.4,1.2,2.7,7.7,16.5,0.2,0.3,0.4,.106,-1.3,-0.1,-1.4,0.0
Monte Morris,PG,24,DEN,73,1636,14.9,.545,.304,.157,1.6,7.7,4.7,22.1,1.7,1.0,8.1,17.5,2.7,1.1,3.8,.112,0.4,-0.5,-0.2,0.8
Johnathan Motley,PF,24,LAC,13,41,28.5,.774,.067,.467,7.8,17.3,12.7,32.9,3.5,0.0,21.7,23.5,0.2,0.1,0.3,.299,4.8,3.3,8.1,0.1
Emmanuel Mudiay,PG,23,UTA,54,850,13.0,.543,.266,.254,2.4,13.5,8.2,20.9,1.4,1.0,17.3,22.6,0.1,0.9,1.0,.057,-1.8,-0.1,-1.9,0.0
Mychal Mulder,SG,25,GSW,7,204,7.8,.533,.776,.179,1.5,11.0,6.1,5.8,0.5,0.4,6.5,16.2,0.0,0.0,0.1,.017,-3.3,-2.8,-6.1,-0.2
Dejounte Murray,PG,23,SAS,66,1687,16.2,.524,.174,.179,4.4,20.1,12.2,23.1,3.1,0.9,15.4,20.8,0.7,2.0,2.6,.074,-0.9,1.3,0.4,1.0
Jamal Murray,PG,22,DEN,59,1904,17.7,.559,.362,.207,2.7,11.2,6.9,22.9,1.7,0.8,11.5,25.2,2.8,1.5,4.3,.107,2.0,-0.8,1.2,1.5
DÅ¾anan Musa,SF,20,BRK,40,487,9.4,.484,.453,.349,4.6,13.5,9.1,12.6,1.5,0.2,15.4,20.1,-0.3,0.5,0.2,.016,-3.5,-0.9,-4.4,-0.3
Mike Muscala,C,28,OKC,47,572,12.5,.569,.757,.116,3.2,17.3,10.4,10.1,0.8,1.8,7.9,16.6,0.7,0.6,1.3,.107,0.1,-0.2,-0.1,0.3
Sviatoslav Mykhailiuk,SF,22,DET,56,1265,11.2,.578,.704,.173,1.5,7.9,4.7,12.3,1.6,0.3,12.3,17.1,1.0,0.6,1.6,.060,-0.7,-1.2,-1.9,0.0
Abdel Nader,SF,26,OKC,55,867,11.3,.591,.487,.251,1.8,10.6,6.4,6.4,1.3,2.0,12.8,17.0,0.5,0.9,1.3,.074,-1.1,0.2,-1.0,0.2
Larry Nance Jr.,C,27,CLE,56,1472,17.3,.608,.369,.172,7.9,23.1,15.4,12.3,1.9,1.3,11.5,15.2,2.8,1.1,3.9,.128,1.4,0.4,1.7,1.4
Shabazz Napier,PG,28,TOT,56,1344,13.8,.552,.526,.336,2.0,10.9,6.3,27.8,2.4,0.7,19.7,20.0,0.8,0.9,1.7,.059,-0.7,-0.4,-1.1,0.3
Shabazz Napier,PG,28,MIN,36,856,13.9,.539,.562,.311,2.0,11.9,6.8,31.3,2.2,0.7,19.1,19.1,0.6,0.6,1.3,.071,-0.6,-0.2,-0.8,0.3
Shabazz Napier,PG,28,WAS,20,488,13.6,.573,.468,.376,1.9,9.1,5.4,21.7,2.8,0.7,20.5,21.6,0.1,0.3,0.4,.039,-0.9,-0.7,-1.5,0.0
Raul Neto,PG,27,PHI,54,668,12.7,.567,.396,.212,1.8,8.3,5.0,20.3,1.7,0.8,16.2,18.7,0.5,0.6,1.2,.083,-1.2,-0.6,-1.8,0.0
Malik Newman,SG,22,CLE,1,4,-11.4,.347,.500,1.000,0.0,0.0,0.0,0.0,0.0,0.0,25.8,41.5,0.0,0.0,0.0,-0.502,-14.5,-11.2,-25.7,0.0
Georges Niang,PF,26,UTA,66,923,11.7,.589,.699,.075,1.9,12.9,7.6,7.0,0.9,0.4,8.3,17.2,1.0,0.8,1.8,.092,0.4,-0.5,-0.1,0.4
Joakim Noah,C,34,LAC,5,50,11.1,.608,.000,1.000,10.7,22.3,16.6,17.9,0.9,1.8,34.2,14.7,0.0,0.1,0.1,.096,-4.1,2.5,-1.6,0.0
Nerlens Noel,C,25,OKC,61,1127,20.4,.711,.011,.394,9.2,19.9,14.7,7.6,2.5,6.9,17.3,14.9,2.6,2.3,4.9,.209,-0.3,3.4,3.1,1.5
Zach Norvell,SG,22,TOT,5,41,2.6,.402,.667,.083,0.0,16.3,7.9,10.2,2.3,0.0,19.4,16.1,-0.1,0.0,-0.1,-0.084,-7.1,-1.2,-8.4,-0.1
Zach Norvell,SG,22,LAL,2,5,-5.6,.000,.000,.000,0.0,21.6,10.9,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,-0.152,-10.3,-2.5,-12.8,0.0
Zach Norvell,SG,22,GSW,3,36,3.7,.437,.727,.091,0.0,15.6,7.5,11.7,2.7,0.0,20.8,17.1,-0.1,0.0,-0.1,-0.075,-6.7,-1.0,-7.8,-0.1
Jaylen Nowell,SG,20,MIN,15,151,10.5,.471,.491,.321,2.0,7.3,4.5,17.8,0.9,0.6,4.7,17.3,0.1,0.0,0.2,.051,-2.9,-0.8,-3.8,-0.1
Frank Ntilikina,PG,21,NYK,57,1187,9.8,.497,.411,.177,2.0,9.1,5.4,20.2,2.2,1.3,16.5,15.4,0.1,0.8,0.9,.037,-3.6,0.4,-3.2,-0.4
Kendrick Nunn,SG,24,MIA,67,1962,12.9,.534,.428,.109,1.2,8.7,5.1,18.5,1.4,0.8,10.6,24.1,0.4,1.6,2.0,.049,-1.0,-1.3,-2.3,-0.1
Jusuf NurkiÄ‡,C,25,POR,8,253,22.6,.567,.092,.321,9.6,24.1,16.9,19.1,2.1,5.4,13.2,24.0,0.5,0.3,0.9,.164,1.0,0.9,2.0,0.2
David Nwaba,SF,27,BRK,20,268,14.0,.627,.394,.380,3.2,14.0,8.7,4.3,1.9,3.7,8.8,14.2,0.4,0.4,0.8,.138,-1.0,2.0,1.0,0.2
Royce O'Neale,PF,26,UTA,71,2049,9.5,.578,.668,.151,1.5,18.8,10.4,11.6,1.4,1.3,13.5,9.6,1.8,2.5,4.3,.101,-1.3,2.2,0.9,1.5
Kyle O'Quinn,C,29,PHI,29,313,18.6,.544,.318,.235,12.0,29.0,20.5,22.7,1.1,6.5,17.6,15.7,0.5,0.6,1.1,.165,0.3,2.7,3.0,0.4
Semi Ojeleye,PF,25,BOS,69,1011,7.7,.562,.648,.163,2.8,12.5,7.7,4.7,1.0,0.5,8.3,9.7,0.8,1.0,1.9,.088,-2.1,0.4,-1.7,0.1
Jahlil Okafor,C,24,NOP,30,467,18.3,.642,.019,.383,10.9,18.0,14.4,12.0,0.7,3.9,16.7,19.9,0.9,0.4,1.3,.133,-0.5,0.3,-0.2,0.2
Elie Okobo,PG,22,PHO,55,719,10.6,.516,.392,.392,2.4,11.6,6.9,21.2,1.6,0.5,15.2,14.8,0.5,0.5,1.0,.067,-1.9,0.0,-1.9,0.0
Josh Okogie,SG,21,MIN,62,1547,11.5,.553,.387,.480,5.7,12.8,9.1,8.9,2.0,1.4,15.3,15.1,0.9,1.2,2.2,.068,-2.4,0.0,-2.4,-0.2
KZ Okpala,SF,20,MIA,5,26,13.7,.595,.200,.400,4.5,16.6,10.8,5.5,3.8,3.8,14.5,11.7,0.0,0.0,0.1,.118,-1.3,4.0,2.7,0.0
Victor Oladipo,SG,27,IND,19,528,11.3,.506,.423,.240,1.9,13.6,7.8,15.4,1.6,0.7,14.7,26.5,-0.6,0.6,0.0,.002,-2.2,-1.1,-3.3,-0.2
Kelly Olynyk,C,28,MIA,67,1300,14.6,.621,.588,.251,3.9,21.6,13.1,13.3,1.7,1.8,13.8,17.4,1.9,1.8,3.7,.135,0.0,1.0,1.0,1.0
Miye Oni,SG,22,UTA,10,109,9.7,.512,.594,.156,5.2,11.7,8.6,5.1,1.8,1.5,10.5,15.3,0.0,0.1,0.1,.063,-3.2,-1.0,-4.3,-0.1
Cedi Osman,SF,24,CLE,65,1910,10.7,.552,.527,.154,2.2,11.3,6.7,11.6,1.4,0.7,12.3,16.6,1.0,0.6,1.6,.040,-1.7,-0.9,-2.6,-0.3
Kelly Oubre Jr.,SF,24,PHO,56,1933,14.9,.560,.372,.298,3.8,17.1,10.4,6.6,1.7,1.8,8.2,22.4,1.7,2.1,3.8,.093,-0.3,-0.3,-0.5,0.7
Tariq Owens,PF,24,PHO,3,15,8.4,.340,.400,.400,14.6,7.5,11.1,0.0,3.2,0.0,0.0,16.7,0.0,0.0,0.0,.021,-3.1,-2.7,-5.8,0.0
Jeremy Pargo,PG,33,GSW,3,44,12.6,.557,.318,.045,2.4,5.1,3.7,33.2,1.1,0.0,15.1,25.7,0.0,0.0,0.0,.011,-2.8,-3.0,-5.9,0.0
Jabari Parker,PF,24,TOT,38,917,18.0,.571,.277,.189,7.1,18.3,12.6,12.4,2.3,1.5,12.1,24.0,0.8,0.8,1.6,.083,0.6,-0.3,0.3,0.5
Jabari Parker,PF,24,ATL,32,837,17.2,.565,.293,.183,6.9,17.9,12.3,11.6,2.3,1.5,12.4,24.0,0.5,0.7,1.2,.068,0.3,-0.3,0.0,0.4
Jabari Parker,PF,24,SAC,6,80,26.5,.638,.111,.250,9.6,23.1,16.2,21.5,1.8,1.2,9.1,23.8,0.3,0.1,0.4,.234,3.5,-0.9,2.6,0.1
Chandler Parsons,SF,31,ATL,5,54,5.6,.389,.778,.000,2.0,12.1,7.0,7.5,3.5,1.6,14.3,16.1,-0.1,0.0,-0.1,-0.065,-4.7,-1.4,-6.1,-0.1
Eric Paschall,PF,23,GSW,60,1654,14.5,.571,.202,.331,5.2,13.1,9.0,12.7,0.9,0.7,11.4,21.4,1.6,0.5,2.1,.062,-0.7,-2.0,-2.7,-0.3
AnÅ¾ejs PaseÄÅ†iks,C,24,WAS,27,437,11.3,.551,.026,.500,10.1,16.9,13.4,5.7,1.0,2.4,14.5,15.8,0.3,0.2,0.5,.054,-4.1,-1.5,-5.6,-0.4
Patrick Patterson,PF,30,LAC,59,776,11.5,.580,.738,.185,4.8,15.1,10.1,7.2,0.4,0.3,7.7,14.7,1.1,0.8,1.9,.118,0.8,-0.5,0.3,0.5
Justin Patton,C,22,OKC,5,24,4.7,.450,.400,.000,4.7,17.9,11.5,12.6,0.0,0.0,16.7,22.0,-0.1,0.0,0.0,-0.063,-6.8,-3.3,-10.1,0.0
Chris Paul,PG,34,OKC,70,2208,21.7,.610,.343,.315,1.3,15.7,8.7,34.0,2.4,0.4,13.8,23.3,5.9,3.0,8.9,.193,3.0,1.4,4.4,3.5
Cameron Payne,PG,25,PHO,8,183,15.7,.612,.426,.103,2.4,16.6,9.4,19.5,2.1,1.0,13.4,19.1,0.3,0.2,0.5,.120,0.5,1.0,1.5,0.2
Elfrid Payton,PG,25,NYK,45,1246,16.0,.470,.157,.195,4.3,14.1,9.1,38.6,2.7,1.3,16.7,19.5,0.5,1.2,1.7,.065,-0.4,0.4,0.0,0.6
Gary Payton II,PG,27,WAS,29,432,11.3,.473,.397,.069,6.3,14.2,10.1,14.8,3.6,1.4,14.3,13.4,0.0,0.4,0.5,.051,-3.2,1.6,-1.6,0.0
Norvel Pelle,C,26,PHI,24,232,10.5,.526,.021,.292,9.5,24.8,17.1,4.6,0.6,11.4,24.9,13.4,-0.2,0.5,0.3,.069,-7.8,2.6,-5.2,-0.2
Theo Pinson,SG,24,BRK,33,365,5.2,.370,.516,.103,2.9,12.2,7.7,21.7,2.2,0.9,16.9,22.3,-1.0,0.4,-0.6,-0.078,-6.8,-0.2,-7.0,-0.5
Mason Plumlee,C,29,DEN,61,1057,18.8,.613,.017,.538,10.4,23.2,16.8,20.9,1.5,3.3,18.7,18.0,2.0,1.4,3.4,.153,0.3,1.7,2.0,1.1
Jakob Poeltl,C,24,SAS,66,1171,19.1,.612,.000,.323,12.1,22.5,17.3,13.6,1.5,7.1,15.1,13.2,2.4,1.6,4.0,.163,0.5,2.0,2.5,1.3
Vincent Poirier,C,26,BOS,22,130,12.7,.525,.056,.194,10.8,24.4,17.7,8.5,0.7,6.4,17.0,15.4,0.1,0.2,0.3,.113,-4.8,1.0,-3.8,-0.1
Shamorie Ponds,PG,21,TOR,4,11,33.1,.765,.400,.400,0.0,9.4,4.8,32.4,0.0,8.9,0.0,22.8,0.1,0.0,0.1,.450,8.4,5.3,13.7,0.0
Jordan Poole,SG,20,GSW,57,1274,7.2,.454,.528,.237,0.7,9.6,5.0,15.8,1.3,0.7,11.8,21.1,-1.6,0.4,-1.2,-0.047,-4.4,-2.2,-6.6,-1.5
Kevin Porter Jr.,SF,19,CLE,50,1162,10.8,.535,.375,.240,2.1,13.5,7.7,13.9,1.9,1.0,16.7,20.5,-0.3,0.6,0.3,.012,-3.2,-0.6,-3.8,-0.5
Michael Porter Jr.,PF,21,DEN,55,903,19.8,.617,.384,.188,8.2,23.9,16.1,7.9,1.5,2.6,10.6,22.3,1.8,1.1,2.9,.154,2.4,-0.8,1.5,0.8
Otto Porter,SF,26,CHI,14,331,15.8,.550,.443,.193,4.1,12.3,8.0,11.9,2.2,1.7,6.8,21.0,0.4,0.4,0.8,.112,0.8,0.2,1.0,0.3
Bobby Portis,C,24,NYK,66,1393,14.6,.530,.317,.158,6.0,20.4,12.9,11.1,1.1,1.2,10.4,21.4,0.9,1.0,1.9,.064,0.0,-1.1,-1.1,0.3
Kristaps PorziÅ†Ä£is,PF,24,DAL,57,1814,20.2,.551,.432,.304,5.9,25.1,15.6,8.8,1.1,5.4,8.0,27.0,2.6,2.6,5.2,.138,1.8,0.1,1.9,1.8
Dwight Powell,C,28,DAL,40,1061,15.9,.677,.170,.485,7.5,14.8,11.2,7.7,1.5,1.8,11.5,12.6,2.6,1.0,3.6,.162,0.4,0.9,1.3,0.9
Norman Powell,SG,26,TOR,52,1479,16.8,.624,.457,.256,1.9,11.4,6.8,9.7,1.9,1.4,10.4,21.5,2.3,2.3,4.6,.150,1.2,0.8,2.0,1.5
Chasson Randle,PG,26,GSW,3,40,6.7,.377,.500,1.500,0.0,5.6,2.7,15.7,2.4,0.0,0.0,7.1,0.0,0.0,0.0,.045,-6.0,0.2,-5.8,0.0
Julius Randle,PF,25,NYK,64,2080,17.5,.538,.230,.350,7.5,24.9,16.0,15.8,1.2,1.0,14.3,27.6,0.9,1.8,2.7,.062,0.7,-1.0,-0.3,0.9
Josh Reaves,SG,22,DAL,4,28,5.8,.405,.222,.222,3.8,7.4,5.6,14.2,0.0,0.0,0.0,15.1,0.0,0.0,0.0,.031,-5.9,-4.0,-9.9,-0.1
Cam Reddish,SF,20,ATL,58,1551,9.0,.500,.451,.227,2.4,12.7,7.5,8.0,1.9,1.5,13.6,18.9,-1.2,0.8,-0.4,-0.011,-3.3,-1.0,-4.2,-0.9
J.J. Redick,SG,35,NOP,60,1581,15.4,.644,.629,.293,0.7,9.5,5.1,10.8,0.6,0.5,9.5,20.4,3.6,0.6,4.1,.125,2.3,-1.7,0.7,1.1
Naz Reid,C,20,MIN,30,495,15.3,.505,.399,.218,7.0,19.9,13.2,11.2,1.8,3.7,7.6,24.0,0.2,0.6,0.8,.074,-1.6,-0.3,-1.9,0.0
Josh Richardson,SG,26,PHI,55,1693,12.0,.533,.385,.218,2.7,8.7,5.7,13.9,1.5,1.8,12.8,20.6,0.5,1.7,2.1,.061,-1.4,-0.4,-1.8,0.1
Austin Rivers,SG,27,HOU,68,1594,10.4,.542,.539,.222,1.8,9.8,5.8,10.0,1.4,0.5,8.3,15.6,1.2,1.2,2.4,.072,-2.1,-0.4,-2.5,-0.2
Andre Roberson,SG,28,OKC,7,87,5.4,.335,.483,.069,9.2,24.7,17.1,6.3,0.6,3.0,6.3,16.1,-0.1,0.1,0.0,-0.017,-5.2,-0.1,-5.3,-0.1
